mean_fit_time	mean_score_time	mean_test_score	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__learning_rate	param_estimator__loss	param_estimator__penalty	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.2005314032236735	0.005551258722941081	-2.0495623408117625e+23	1e-06	True	optimal	squared_loss	l1	3111696	8	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	3812	-2.0480706466244986e+23	-1.8599841938507837e+23	-2.2406321819600045e+23	0.002425162849928152	1.2241400409591538e-05	1.5540247011456115e+22
0.20971004168192545	0.005656639734903972	-3.130216341331913e+23	1e-06	True	optimal	squared_loss	l1	3111696	9	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	3825	-2.334553670406192e+23	-3.154350640453718e+23	-3.901744713135827e+23	0.0004409143369478346	3.095240884569271e-05	6.40030618745997e+22
0.22064844767252603	0.0058443546295166016	-3.961223786671495e+23	1e-06	True	optimal	squared_loss	l1	3111696	10	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	3835	-6.751435614354045e+23	-1.6135758693819988e+23	-3.518659876278445e+23	0.00039172892455207773	1.746487290555233e-05	2.120738519295868e+23
0.12168018023173015	0.004518667856852214	-2.535698429244937e+22	1e-06	True	optimal	squared_loss	l2	3111696	1	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	3713	-4.2129193955191285e+22	-1.42325834860906e+21	-3.2518500573547764e+22	0.005043815346303997	0.00015487990124183818	1.7372560451952817e+22
0.15760533014933267	0.004937966664632161	-1.1781261282606947e+23	1e-06	True	optimal	squared_loss	l2	3111696	2	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	3768	-1.2133188342270097e+23	-1.2434498658311443e+23	-1.0776096847239296e+23	0.0003545013205159095	5.9307416940378856e-05	7.213245377933607e+21
0.16260560353597006	0.0051415761311848955	-2.0145126615692856e+23	1e-06	True	optimal	squared_loss	l2	3111696	3	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	3808	-1.7081853923736875e+23	-2.5321694857883117e+23	-1.8031831065458578e+23	0.0004753337976682675	2.4482800819183075e-05	3.6808747345332654e+22
0.17823131879170737	0.0052530765533447266	-1.1797466260946183e+23	1e-06	True	optimal	squared_loss	l2	3111696	4	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	3769	-1.1960431372010588e+23	-2.1030297695763976e+23	-2.4016697150639868e+22	0.0008594514432729099	2.862413386392131e-05	7.605978496393383e+22
0.17759291330973306	0.005540688832600911	-1.8489323252055338e+23	1e-06	True	optimal	squared_loss	l2	3111696	5	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	3802	-3.293646333037175e+23	-1.0159442055188735e+23	-1.2372064370605525e+23	0.0004661833105772268	7.499172910025502e-05	1.0255529133416843e+23
0.1871062914530436	0.005867401758829753	-1.446931735608737e+23	1e-06	True	optimal	squared_loss	l2	3111696	6	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	3781	-7.048344436377884e+22	-7.589016081578489e+22	-2.8770591550305732e+23	0.0038075382605110386	0.00042390082862640664	1.011493661672819e+23
0.20198440551757812	0.007172346115112305	-1.3799094219099178e+23	1e-06	True	optimal	squared_loss	l2	3111696	7	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	3775	-1.5679472749324825e+23	-1.2948744878384896e+23	-1.2769065029587813e+23	0.007413880239355035	0.0006611688381314559	1.3316502981178676e+22
0.20993240674336752	0.007313330968221028	-2.200752596336055e+23	1e-06	True	optimal	squared_loss	l2	3111696	8	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'squared_loss', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	3817	-3.1041789578494625e+23	-2.4293006497642518e+23	-1.0687781813944505e+23	0.018219781058792767	0.0012722375257553419	8.465182572328373e+22
